date,etf,sector,mkt_cap,mkt_price,rel_norm_price_to_book
1998-12-31,XLI,Industrials,17.1938,24.5625,
1998-12-31,XLK,Information technology,156.6,32.625,
1998-12-31,XLP,Consumer staples,77.3955,27.1563,
1998-12-31,XLU,Utilities,51.3985,30.2344,
1998-12-31,XLV,Healthcare,39.0,26.0,
1998-12-31,XLY,Consumer discretionary,18.2875,26.125,
1999-01-04,XLB,Materials,10.8282,21.6563,
1999-01-04,XLE,Energy,48.989,23.3281,
1999-01-04,XLF,Financials,65.625,19.0317,
1999-01-04,XLI,Industrials,16.9532,24.2188,
1999-01-04,XLK,Information technology,196.35,33.0,
1999-01-04,XLP,Consumer staples,76.7719,26.9375,
1999-01-04,XLU,Utilities,50.575,29.75,
1999-01-04,XLV,Healthcare,40.2031,25.9375,
1999-01-04,XLY,Consumer discretionary,18.1782,25.9688,
1999-01-05,XLB,Materials,11.0938,22.1875,
1999-01-05,XLE,Energy,48.7265,23.2031,
1999-01-05,XLF,Financials,69.8097,19.2093,
1999-01-05,XLI,Industrials,17.3032,24.7188,
1999-01-05,XLK,Information technology,218.2925,33.8438,
1999-01-05,XLP,Consumer staples,80.0648,27.1406,
1999-01-05,XLU,Utilities,51.186,30.1094,
1999-01-05,XLV,Healthcare,40.8329,26.3438,
1999-01-05,XLY,Consumer discretionary,18.4844,26.4063,
1999-01-06,XLB,Materials,11.2891,22.5781,
1999-01-06,XLE,Energy,50.3345,23.9688,
1999-01-06,XLF,Financials,71.9986,19.8183,
1999-01-06,XLI,Industrials,17.675,25.25,
1999-01-06,XLK,Information technology,224.7425,34.8438,
1999-01-06,XLP,Consumer staples,83.7798,27.4688,
1999-01-06,XLU,Utilities,51.7172,30.4219,
1999-01-06,XLV,Healthcare,44.1891,26.7813,
1999-01-06,XLY,Consumer discretionary,19.0094,27.1563,
1999-01-07,XLB,Materials,11.2256,22.4063,
1999-01-07,XLE,Energy,50.1047,23.8594,
1999-01-07,XLF,Financials,73.1296,20.1228,
1999-01-07,XLI,Industrials,17.5219,25.0313,
1999-01-07,XLK,Information technology,224.0369,34.7344,
1999-01-07,XLP,Consumer staples,82.8267,27.1563,
1999-01-07,XLU,Utilities,51.5313,30.3125,
1999-01-07,XLV,Healthcare,43.9829,26.6563,
1999-01-07,XLY,Consumer discretionary,18.9875,27.125,
1999-01-08,XLB,Materials,11.6091,23.1719,
1999-01-08,XLE,Energy,50.3345,23.9688,
1999-01-08,XLF,Financials,77.3312,20.2497,
1999-01-08,XLI,Industrials,17.6532,25.2188,
1999-01-08,XLK,Information technology,259.8188,34.875,
1999-01-08,XLP,Consumer staples,82.493,27.0469,
1999-01-08,XLU,Utilities,51.8235,30.4844,
1999-01-08,XLV,Healthcare,41.8258,26.9844,
1999-01-08,XLY,Consumer discretionary,16.2938,27.1563,
1999-01-11,XLB,Materials,11.6326,23.2188,
1999-01-11,XLE,Energy,49.3828,23.5156,
1999-01-11,XLF,Financials,76.1683,19.9452,
1999-01-11,XLI,Industrials,17.4891,24.9844,
1999-01-11,XLK,Information technology,262.3801,35.2188,
1999-01-11,XLP,Consumer staples,80.825,26.5,
1999-01-11,XLU,Utilities,50.4422,29.6719,
1999-01-11,XLV,Healthcare,41.9227,27.0469,
1999-01-11,XLY,Consumer discretionary,16.2094,27.0156,
1999-01-12,XLB,Materials,11.3351,22.625,
1999-01-12,XLE,Energy,48.6282,23.1563,
1999-01-12,XLF,Financials,74.0125,19.3869,
1999-01-12,XLI,Industrials,17.2813,24.6875,
1999-01-12,XLK,Information technology,255.2787,34.2656,
1999-01-12,XLP,Consumer staples,80.2055,26.2969,
1999-01-12,XLU,Utilities,50.4688,29.6875,
1999-01-12,XLV,Healthcare,41.7531,26.9375,
1999-01-12,XLY,Consumer discretionary,15.7875,26.3125,
1999-01-13,XLB,Materials,11.0625,22.125,
1999-01-13,XLE,Energy,47.9063,22.8125,
1999-01-13,XLF,Financials,73.0438,19.1332,
1999-01-13,XLI,Industrials,16.8438,24.0625,
1999-01-13,XLK,Information technology,255.1625,34.25,
1999-01-13,XLP,Consumer staples,80.3486,26.3438,
1999-01-13,XLU,Utilities,50.814,29.8906,
1999-01-13,XLV,Healthcare,41.3656,26.6875,
1999-01-13,XLY,Consumer discretionary,15.8625,26.4375,
1999-01-14,XLB,Materials,10.875,21.75,
1999-01-14,XLE,Energy,46.9875,22.375,
1999-01-14,XLF,Financials,71.2033,18.651,
1999-01-14,XLI,Industrials,16.7672,23.9531,
1999-01-14,XLK,Information technology,251.6707,33.7813,
1999-01-14,XLP,Consumer staples,78.8236,25.8438,
1999-01-14,XLU,Utilities,49.964,29.3906,
1999-01-14,XLV,Healthcare,41.0266,26.4688,
1999-01-14,XLY,Consumer discretionary,15.5063,25.8438,
1999-01-15,XLB,Materials,11.0391,22.0781,
1999-01-15,XLE,Energy,47.7095,22.7188,
1999-01-15,XLF,Financials,73.2375,19.1839,
1999-01-15,XLI,Industrials,17.0516,24.3594,
1999-01-15,XLK,Information technology,259.1207,34.7813,
1999-01-15,XLP,Consumer staples,79.6813,26.125,
1999-01-15,XLU,Utilities,50.2032,29.5313,
1999-01-15,XLV,Healthcare,40.2422,26.8281,
1999-01-15,XLY,Consumer discretionary,15.7031,26.1719,
1999-01-19,XLB,Materials,10.836,21.6719,
1999-01-19,XLE,Energy,47.7095,22.7188,
1999-01-19,XLF,Financials,72.85,19.0824,
1999-01-19,XLI,Industrials,17.0188,24.3125,
1999-01-19,XLK,Information technology,271.6822,35.9844,
1999-01-19,XLP,Consumer staples,83.9413,25.8281,
1999-01-19,XLU,Utilities,51.9032,30.5313,
1999-01-19,XLV,Healthcare,42.7704,27.5938,
1999-01-19,XLY,Consumer discretionary,15.6938,26.1563,
1999-01-20,XLB,Materials,10.7969,21.5938,
1999-01-20,XLE,Energy,47.3157,22.5313,
1999-01-20,XLF,Financials,73.3829,19.222,
1999-01-20,XLI,Industrials,16.9422,24.2031,
1999-01-20,XLK,Information technology,274.1594,36.3125,
1999-01-20,XLP,Consumer staples,84.1955,25.9063,
1999-01-20,XLU,Utilities,51.6907,30.4063,
1999-01-20,XLV,Healthcare,43.0125,27.75,
1999-01-20,XLY,Consumer discretionary,15.9563,26.5938,
1999-01-21,XLB,Materials,10.75,21.5,
1999-01-21,XLE,Energy,47.7095,22.7188,
1999-01-21,XLF,Financials,72.075,18.8794,
1999-01-21,XLI,Industrials,16.8,24.0,
1999-01-21,XLK,Information technology,302.4562,35.375,
1999-01-21,XLP,Consumer staples,85.4773,25.5156,
1999-01-21,XLU,Utilities,51.5047,30.2969,
1999-01-21,XLV,Healthcare,41.511,26.7813,
1999-01-21,XLY,Consumer discretionary,15.8063,26.3438,
1999-01-22,XLB,Materials,10.5601,21.0781,
1999-01-22,XLE,Energy,48.5767,22.5938,
1999-01-22,XLF,Financials,71.6139,18.7525,
1999-01-22,XLI,Industrials,16.4719,23.5313,
1999-01-22,XLK,Information technology,307.5375,34.75,
1999-01-22,XLP,Consumer staples,87.5976,25.3906,
1999-01-22,XLU,Utilities,51.85,30.5,
1999-01-22,XLV,Healthcare,52.0102,26.6719,
1999-01-22,XLY,Consumer discretionary,15.8813,26.4688,
1999-01-25,XLB,Materials,10.75,21.5,
1999-01-25,XLE,Energy,50.7656,22.5625,
1999-01-25,XLF,Financials,73.3361,18.9048,
1999-01-25,XLI,Industrials,16.7453,23.9219,
1999-01-25,XLK,Information technology,321.7705,35.3594,
1999-01-25,XLP,Consumer staples,91.1812,25.3281,
1999-01-25,XLU,Utilities,61.6547,29.3594,
1999-01-25,XLV,Healthcare,52.4367,26.8906,
1999-01-25,XLY,Consumer discretionary,14.5235,26.4063,
1999-01-27,XLB,Materials,12.7594,21.2656,
1999-01-27,XLE,Energy,49.3594,21.9375,
1999-01-27,XLF,Financials,72.45,18.6764,
1999-01-27,XLI,Industrials,16.8766,24.1094,
1999-01-27,XLK,Information technology,367.2,36.0,
1999-01-27,XLP,Consumer staples,94.5562,26.2656,
1999-01-27,XLU,Utilities,61.9172,29.4844,
1999-01-27,XLV,Healthcare,52.1625,26.75,
1999-01-27,XLY,Consumer discretionary,14.85,27.0,
1999-01-28,XLB,Materials,12.621,21.0,
1999-01-28,XLE,Energy,49.0781,21.8125,
1999-01-28,XLF,Financials,73.5563,18.9555,
1999-01-28,XLI,Industrials,16.8984,24.1406,
1999-01-28,XLK,Information technology,391.2888,37.2656,
1999-01-28,XLP,Consumer staples,96.2438,26.7344,
1999-01-28,XLU,Utilities,62.0157,29.5313,
1999-01-28,XLV,Healthcare,53.1375,27.25,
1999-01-28,XLY,Consumer discretionary,15.0047,27.2813,
1999-01-29,XLB,Materials,12.6868,21.1094,
1999-01-29,XLE,Energy,49.0781,21.8125,
1999-01-29,XLF,Financials,75.1318,19.3615,
1999-01-29,XLI,Industrials,17.0078,24.2969,
1999-01-29,XLK,Information technology,397.0313,37.8125,
1999-01-29,XLP,Consumer staples,96.4688,26.7969,
1999-01-29,XLU,Utilities,61.9172,29.4844,
1999-01-29,XLV,Healthcare,53.1375,27.25,
1999-01-29,XLY,Consumer discretionary,15.1078,27.4688,
1999-02-01,XLB,Materials,12.7901,21.2813,
1999-02-01,XLE,Energy,48.5861,21.5938,
1999-02-01,XLF,Financials,76.1953,19.0317,
1999-02-01,XLI,Industrials,17.0297,24.3281,
1999-02-01,XLK,Information technology,397.3599,37.8438,
1999-02-01,XLP,Consumer staples,96.075,26.6875,
1999-02-01,XLU,Utilities,61.786,29.4219,
1999-02-01,XLV,Healthcare,56.1829,27.4063,
1999-02-01,XLY,Consumer discretionary,15.1422,27.5313,
1999-02-02,XLB,Materials,15.9727,21.2969,
1999-02-02,XLE,Energy,48.6563,21.625,
1999-02-02,XLF,Financials,75.3594,18.8287,
1999-02-02,XLI,Industrials,16.8984,24.1406,
1999-02-02,XLK,Information technology,396.213,37.2031,
1999-02-02,XLP,Consumer staples,96.8627,26.9063,
1999-02-02,XLU,Utilities,60.9657,29.0313,
1999-02-02,XLV,Healthcare,55.35,27.0,
1999-02-02,XLY,Consumer discretionary,14.9531,27.1875,
1999-02-03,XLB,Materials,15.9844,21.3125,
1999-02-03,XLE,Energy,49.7813,22.125,
1999-02-03,XLF,Financials,75.918,18.9682,
1999-02-03,XLI,Industrials,17.0625,24.375,
1999-02-03,XLK,Information technology,417.7771,37.4688,
1999-02-03,XLP,Consumer staples,96.525,26.8125,
1999-02-03,XLU,Utilities,61.2938,29.1875,
1999-02-03,XLV,Healthcare,59.1585,27.5156,
1999-02-03,XLY,Consumer discretionary,15.1938,27.625,
1999-02-04,XLB,Materials,16.4531,21.9375,
1999-02-04,XLE,Energy,50.0625,22.25,
1999-02-04,XLF,Financials,74.1406,18.5241,
1999-02-04,XLI,Industrials,17.0844,24.4063,
1999-02-04,XLK,Information technology,403.4906,36.1875,
1999-02-04,XLP,Consumer staples,96.075,26.6875,
1999-02-04,XLU,Utilities,60.375,28.75,
1999-02-04,XLV,Healthcare,58.7219,27.3125,
1999-02-04,XLY,Consumer discretionary,15.1078,27.4688,
1999-02-05,XLB,Materials,16.6758,22.2344,
1999-02-05,XLE,Energy,51.4688,22.875,
1999-02-05,XLF,Financials,73.5313,18.3719,
1999-02-05,XLI,Industrials,17.0297,24.3281,
1999-02-05,XLK,Information technology,407.8594,35.3125,
1999-02-05,XLP,Consumer staples,94.6127,26.2813,
1999-02-05,XLU,Utilities,60.4078,28.7656,
1999-02-05,XLV,Healthcare,58.05,27.0,
1999-02-05,XLY,Consumer discretionary,14.7297,26.7813,
1999-02-08,XLB,Materials,16.5938,22.125,
1999-02-08,XLE,Energy,52.1719,23.1875,
1999-02-08,XLF,Financials,71.0719,18.3211,
1999-02-08,XLI,Industrials,17.0844,24.4063,
1999-02-08,XLK,Information technology,414.7178,35.9063,
1999-02-08,XLP,Consumer staples,94.4438,26.2344,
1999-02-08,XLU,Utilities,60.4078,28.7656,
1999-02-08,XLV,Healthcare,55.318,26.9844,
1999-02-08,XLY,Consumer discretionary,14.9703,27.2188,
1999-02-09,XLB,Materials,16.2773,21.7031,
1999-02-09,XLE,Energy,51.1875,22.75,
1999-02-09,XLF,Financials,70.0875,18.0674,
1999-02-09,XLI,Industrials,16.8547,24.0781,
1999-02-09,XLK,Information technology,470.925,34.5,
1999-02-09,XLP,Consumer staples,92.7562,25.7656,
1999-02-09,XLU,Utilities,60.6703,28.8906,
1999-02-09,XLV,Healthcare,54.325,26.5,
1999-02-09,XLY,Consumer discretionary,14.5063,26.375,
1999-02-10,XLB,Materials,16.3125,21.75,
1999-02-10,XLE,Energy,59.3125,22.8125,
1999-02-10,XLF,Financials,70.6781,18.2196,
1999-02-10,XLI,Industrials,16.9203,24.1719,
1999-02-10,XLK,Information technology,486.5,34.75,
1999-02-10,XLP,Consumer staples,94.7288,25.9531,
1999-02-10,XLU,Utilities,60.2438,28.6875,
1999-02-10,XLV,Healthcare,54.4531,26.5625,
1999-02-10,XLY,Consumer discretionary,14.5063,26.375,
1999-02-11,XLB,Materials,16.1485,21.5313,
1999-02-11,XLE,Energy,65.6125,22.625,
1999-02-11,XLF,Financials,73.533,18.9555,
1999-02-11,XLI,Industrials,17.15,24.5,
1999-02-11,XLK,Information technology,590.3665,36.2188,
1999-02-11,XLP,Consumer staples,98.9648,26.3906,
1999-02-11,XLU,Utilities,60.5063,28.8125,
1999-02-11,XLV,Healthcare,55.9267,27.2813,
1999-02-11,XLY,Consumer discretionary,14.9789,27.2344,
1999-02-12,XLB,Materials,16.0879,21.4219,
1999-02-12,XLE,Energy,57.6064,22.1563,
1999-02-12,XLF,Financials,79.373,18.6764,
1999-02-12,XLI,Industrials,17.0516,24.3594,
1999-02-12,XLK,Information technology,500.8507,34.7813,
1999-02-12,XLP,Consumer staples,98.1446,26.1719,
1999-02-12,XLU,Utilities,59.522,28.3438,
1999-02-12,XLV,Healthcare,55.0938,26.875,
1999-02-12,XLY,Consumer discretionary,14.7125,26.75,
1999-02-16,XLB,Materials,15.9353,21.2188,
1999-02-16,XLE,Energy,57.2,22.0,
1999-02-16,XLF,Financials,85.2282,18.9555,
1999-02-16,XLI,Industrials,17.1391,24.4844,
1999-02-16,XLK,Information technology,508.9875,34.625,
1999-02-16,XLP,Consumer staples,104.6134,26.4844,
1999-02-16,XLU,Utilities,60.6047,28.8594,
1999-02-16,XLV,Healthcare,55.6063,27.125,
1999-02-16,XLY,Consumer discretionary,14.9016,27.0938,
1999-02-17,XLB,Materials,15.771,21.0,
1999-02-17,XLE,Energy,56.6314,21.7813,
1999-02-17,XLF,Financials,87.9141,19.0317,
1999-02-17,XLI,Industrials,17.1391,24.4844,
1999-02-17,XLK,Information technology,504.2726,33.8438,
1999-02-17,XLP,Consumer staples,108.808,26.2188,
1999-02-17,XLU,Utilities,60.1782,28.6563,
1999-02-17,XLV,Healthcare,55.0298,26.8438,
1999-02-17,XLY,Consumer discretionary,14.85,27.0,
1999-02-18,XLB,Materials,15.8672,21.1563,
1999-02-18,XLE,Energy,56.7939,21.8438,
1999-02-18,XLF,Financials,88.7696,19.222,
1999-02-18,XLI,Industrials,17.1391,24.4844,
1999-02-18,XLK,Information technology,507.0664,34.0313,
1999-02-18,XLP,Consumer staples,109.975,26.5,
1999-02-18,XLU,Utilities,61.261,29.1719,
1999-02-18,XLV,Healthcare,55.7344,27.1875,
1999-02-18,XLY,Consumer discretionary,14.8672,27.0313,
1999-02-19,XLB,Materials,16.0174,21.3281,
1999-02-19,XLE,Energy,56.4689,21.7188,
1999-02-19,XLF,Financials,89.0863,19.2854,
1999-02-19,XLI,Industrials,17.2484,24.6406,
1999-02-19,XLK,Information technology,520.3086,34.3438,
1999-02-19,XLP,Consumer staples,114.7991,26.3906,
1999-02-19,XLU,Utilities,60.6047,28.8594,
1999-02-19,XLV,Healthcare,55.8945,27.2656,
1999-02-19,XLY,Consumer discretionary,14.9445,27.1719,
1999-02-22,XLB,Materials,16.2873,21.6875,
1999-02-22,XLE,Energy,57.0375,21.9375,
1999-02-22,XLF,Financials,91.6651,19.8437,
1999-02-22,XLI,Industrials,17.5109,25.0156,
1999-02-22,XLK,Information technology,538.7719,35.5625,
1999-02-22,XLP,Consumer staples,117.246,26.9531,
1999-02-22,XLU,Utilities,62.5735,29.7969,
1999-02-22,XLV,Healthcare,57.0798,27.8438,
1999-02-22,XLY,Consumer discretionary,15.3227,27.8594,
1999-02-23,XLB,Materials,17.2215,21.5,
1999-02-23,XLE,Energy,56.55,21.75,
1999-02-23,XLF,Financials,92.8373,20.0974,
1999-02-23,XLI,Industrials,17.5,25.0,
1999-02-23,XLK,Information technology,545.8742,36.0313,
1999-02-23,XLP,Consumer staples,119.733,26.9063,
1999-02-23,XLU,Utilities,60.6047,28.8594,
1999-02-23,XLV,Healthcare,56.9837,27.7969,
1999-02-23,XLY,Consumer discretionary,16.6313,27.7188,
1999-02-24,XLB,Materials,17.1714,21.4375,
1999-02-24,XLE,Energy,56.3064,21.6563,
1999-02-24,XLF,Financials,89.7896,19.4377,
1999-02-24,XLI,Industrials,17.4563,24.9375,
1999-02-24,XLK,Information technology,530.7242,35.0313,
1999-02-24,XLP,Consumer staples,119.0375,26.75,
1999-02-24,XLU,Utilities,61.1625,29.125,
1999-02-24,XLV,Healthcare,56.311,27.4688,
1999-02-24,XLY,Consumer discretionary,16.425,27.375,
1999-02-25,XLB,Materials,17.15,21.4375,
1999-02-25,XLE,Energy,56.5906,21.7656,
1999-02-25,XLF,Financials,89.2037,19.3108,
1999-02-25,XLI,Industrials,17.1063,24.4375,
1999-02-25,XLK,Information technology,567.2687,35.125,
1999-02-25,XLP,Consumer staples,117.6469,26.4375,
1999-02-25,XLU,Utilities,59.85,28.5,
1999-02-25,XLV,Healthcare,55.7664,27.2031,
1999-02-25,XLY,Consumer discretionary,16.2375,27.0625,
1999-02-26,XLB,Materials,17.1714,21.4375,
1999-02-26,XLE,Energy,58.3875,21.625,
1999-02-26,XLF,Financials,95.6885,19.666,
1999-02-26,XLI,Industrials,17.1609,24.5156,
1999-02-26,XLK,Information technology,545.0,34.0625,
1999-02-26,XLP,Consumer staples,117.9944,26.5156,
1999-02-26,XLU,Utilities,60.211,28.6719,
1999-02-26,XLV,Healthcare,60.0189,27.2813,
1999-02-26,XLY,Consumer discretionary,16.3781,27.2969,
1999-03-01,XLB,Materials,16.9712,21.1875,
1999-03-01,XLE,Energy,57.797,21.4063,
1999-03-01,XLF,Financials,96.0587,19.7422,
1999-03-01,XLI,Industrials,17.15,24.5,
1999-03-01,XLK,Information technology,542.5008,33.9063,
1999-03-01,XLP,Consumer staples,117.4382,26.3906,
1999-03-01,XLU,Utilities,59.325,28.25,
1999-03-01,XLV,Healthcare,59.9157,27.2344,
1999-03-01,XLY,Consumer discretionary,16.3875,27.3125,
1999-03-02,XLB,Materials,16.821,21.0,
1999-03-02,XLE,Energy,57.2063,21.1875,
1999-03-02,XLF,Financials,96.3056,19.7929,
1999-03-02,XLI,Industrials,17.0078,24.2969,
1999-03-02,XLK,Information technology,528.0,33.0,
1999-03-02,XLP,Consumer staples,117.0906,26.3125,
1999-03-02,XLU,Utilities,58.439,27.8281,
1999-03-02,XLV,Healthcare,59.8814,27.2188,
1999-03-02,XLY,Consumer discretionary,16.425,27.375,
1999-03-03,XLB,Materials,18.7943,20.8594,
1999-03-03,XLE,Energy,64.9689,21.6563,
1999-03-03,XLF,Financials,95.3795,19.6026,
1999-03-03,XLI,Industrials,16.9094,24.1563,
1999-03-03,XLK,Information technology,537.0,33.5625,
1999-03-03,XLP,Consumer staples,121.0375,26.3125,
1999-03-03,XLU,Utilities,58.472,27.8438,
1999-03-03,XLV,Healthcare,59.5032,27.0469,
1999-03-03,XLY,Consumer discretionary,16.3406,27.2344,
1999-03-04,XLB,Materials,18.8506,20.9219,
1999-03-04,XLE,Energy,67.3125,22.4375,
1999-03-04,XLF,Financials,102.4778,20.0467,
1999-03-04,XLI,Industrials,17.2375,24.625,
1999-03-04,XLK,Information technology,542.5008,33.9063,
1999-03-04,XLP,Consumer staples,122.6907,26.6719,
1999-03-04,XLU,Utilities,59.3907,28.2813,
1999-03-04,XLV,Healthcare,60.5689,27.5313,
1999-03-04,XLY,Consumer discretionary,18.0781,27.8125,
1999-03-05,XLB,Materials,21.6466,21.625,
1999-03-05,XLE,Energy,68.5782,22.8594,
1999-03-05,XLF,Financials,105.0722,20.5542,
1999-03-05,XLI,Industrials,17.6203,25.1719,
1999-03-05,XLK,Information technology,593.1563,34.6875,
1999-03-05,XLP,Consumer staples,124.5593,27.0781,
1999-03-05,XLU,Utilities,60.4078,28.7656,
1999-03-05,XLV,Healthcare,61.9439,28.1563,
1999-03-05,XLY,Consumer discretionary,24.3579,28.6563,
1999-03-08,XLB,Materials,21.7656,21.7656,
1999-03-08,XLE,Energy,69.5625,23.1875,
1999-03-08,XLF,Financials,104.3335,20.4146,
1999-03-08,XLI,Industrials,17.7188,25.3125,
1999-03-08,XLK,Information technology,620.9625,35.6875,
1999-03-08,XLP,Consumer staples,125.1343,27.2031,
1999-03-08,XLU,Utilities,59.7188,28.4375,
1999-03-08,XLV,Healthcare,62.0125,28.1875,
1999-03-08,XLY,Consumer discretionary,24.4641,28.7813,
1999-03-09,XLB,Materials,21.5781,21.5781,
1999-03-09,XLE,Energy,68.8125,22.9375,
1999-03-09,XLF,Financials,105.1768,20.5796,
1999-03-09,XLI,Industrials,17.8063,25.4375,
1999-03-09,XLK,Information technology,614.4375,35.3125,
1999-03-09,XLP,Consumer staples,125.2782,27.2344,
1999-03-09,XLU,Utilities,59.5547,28.3594,
1999-03-09,XLV,Healthcare,61.5314,27.9688,
1999-03-09,XLY,Consumer discretionary,24.5305,28.8594,
1999-03-10,XLB,Materials,21.8969,21.875,
1999-03-10,XLE,Energy,72.75,24.25,
1999-03-10,XLF,Financials,109.7289,20.9602,
1999-03-10,XLI,Industrials,17.7734,25.3906,
1999-03-10,XLK,Information technology,614.4375,35.3125,
1999-03-10,XLP,Consumer staples,123.9125,26.9375,
1999-03-10,XLU,Utilities,55.1179,28.2656,
1999-03-10,XLV,Healthcare,62.0814,28.2188,
1999-03-10,XLY,Consumer discretionary,27.3422,28.7813,
1999-03-11,XLB,Materials,22.1094,22.1094,
1999-03-11,XLE,Energy,110.6721,24.5938,
1999-03-11,XLF,Financials,110.2344,21.0617,
1999-03-11,XLI,Industrials,17.7953,25.4219,
1999-03-11,XLK,Information technology,525.225,35.25,
1999-03-11,XLP,Consumer staples,133.2952,27.2031,
1999-03-11,XLU,Utilities,55.5446,28.4844,
1999-03-11,XLV,Healthcare,62.4939,28.4063,
1999-03-11,XLY,Consumer discretionary,27.6391,29.0938,
1999-03-12,XLB,Materials,22.0156,22.0156,
1999-03-12,XLE,Energy,110.25,24.5,
1999-03-12,XLF,Financials,110.4337,21.0998,
1999-03-12,XLI,Industrials,17.85,25.5,
1999-03-12,XLK,Information technology,520.5687,34.9375,
1999-03-12,XLP,Consumer staples,134.4438,27.4375,
1999-03-12,XLU,Utilities,56.154,28.7969,
1999-03-12,XLV,Healthcare,62.15,28.25,
1999-03-12,XLY,Consumer discretionary,27.7579,29.2188,
1999-03-15,XLB,Materials,22.0625,22.0625,
1999-03-15,XLE,Energy,109.4063,24.3125,
1999-03-15,XLF,Financials,110.7656,21.1632,
1999-03-15,XLI,Industrials,17.8063,25.4375,
1999-03-15,XLK,Information technology,528.95,35.5,
1999-03-15,XLP,Consumer staples,124.5236,27.6719,
1999-03-15,XLU,Utilities,56.3063,28.875,
1999-03-15,XLV,Healthcare,62.3564,28.3438,
1999-03-15,XLY,Consumer discretionary,27.8172,29.2813,
1999-03-16,XLB,Materials,21.9688,21.9688,
1999-03-16,XLE,Energy,108.8438,24.1875,
1999-03-16,XLF,Financials,109.1719,20.8587,
1999-03-16,XLI,Industrials,17.6859,25.2656,
1999-03-16,XLK,Information technology,538.0301,36.1094,
1999-03-16,XLP,Consumer staples,125.0861,27.7969,
1999-03-16,XLU,Utilities,56.0929,28.7656,
1999-03-16,XLV,Healthcare,62.2189,28.2813,
1999-03-16,XLY,Consumer discretionary,27.6688,29.125,
1999-03-17,XLB,Materials,21.9063,21.9063,
1999-03-17,XLE,Energy,111.6563,24.8125,
1999-03-17,XLF,Financials,108.2424,20.6811,
1999-03-17,XLI,Industrials,17.6532,25.2188,
1999-03-17,XLK,Information technology,538.125,35.875,
1999-03-17,XLP,Consumer staples,122.9764,27.3281,
1999-03-17,XLU,Utilities,55.575,28.5,
1999-03-17,XLV,Healthcare,61.875,28.125,
1999-03-17,XLY,Consumer discretionary,27.55,29.0,
1999-03-18,XLB,Materials,22.375,22.375,
1999-03-18,XLE,Energy,155.775,25.125,
