review|sentiment
This unit I bought about 4 years ago, at season end fortunately. If your house is 1400 sq ft, dont buy this unit, go with the larger champion 5000. My airflow is average, use a 1/2 hp motor, but have paint flaking off, rust appearing on inside of pan, rust up the inside post of this. Still working but might try and find a larger unit or different manufacture. I clean this unit at the end of each season but the inside is not good. Highly reccommend keeping the bearings oiled. I mean about every 30 days or less, my temp went up to 77 in the house, oiled bearings and was back down to average of 75.|Negative
These covers are made of good , tough material well sewn and well made.they should last several winters.|Positive
The summer high temperatures and low humidity have not yet come. I think it will work just fine. I will tell you at the end of August !|Positive
These pads stink like nobody's business! There is a gut-wrenching chemical smell that drove me and my entire family out of the house instantly. I'm talking AWFUL smell. We thought MAYBE it'd take a few hours to air out but it was just as bad later on. HORRIBLE PRODUCT. (FYI: We've used many other brands & types of pads with no problems, only this one smells like a chemical factory dumpsite.)|Negative
Several surface dents; Plastic directional vanes required reinstalling; fan assembly not seated correctly with 1 screw not tightened; fan blades bent out of round and wobbled excessively. Fixed all but dents. Shouldn't need to fix a new item but with delivery problems didn’t want to try returning.|Negative
I thought this would be a good match for us. When set up and working , it only lowered our room temperature by 2 degrees if any. Really felt like an over sized and overpriced fan. We took it back and bought an air conditioner.|Negative
This unit works well in my space to cool it down and add humidity which is nice with our dry climate. It is however pretty noisy even on low speed. Overall it seems to be a good value.|Positive
Bought a house last summer. Had a old Sears Kenmore cooler on the roof. Live in Nevada. Couldn't use it between 12 and 7. All it did was blow hot air. installed this two weeks ago. It's been high 90's all week. On low cool the house is 70. Love it.|Positive
This float valve was just one of several replacement parts that I purchased for this year's anticipated maintenance in order to switch over to my evaporative cooler for this season, of course on the hottest day of the year and on a weekend, the only time I have to do such projects. Of everything that I had to replace, this was the absolute easiest. All of the washers that I needed were right on it in the order that they should go back onto it and the entire replacement did not take but 2 to 3 minutes, including removing the old one that should have been replaced last year. This new valve is a lot simpler than the old one and was a lot easier to get tightened to the wall of my cooler with 2 small crescent wrenches because of the thickness of the inside nut that was a fixed part of the valve. I have very hard well water and I am 27 miles from the nearest local hardware store and 52 miles from the Home Depot where I got this, so I will purchase another one of these to put in my cooler parts box to have on hand.|Positive
I've only used it a few times so take that into consideration. I'm using osmotic-filtered water in it so I'm filling it manually. The water gauge is set to be used with a hose, I'm thinking, so it shows less than full capacity. It ran out of water a few times before I found this out, but still works (thank goodness.) It seems to put out some cold air so am happy with it when it's running with water. It does a good job in my garage. (Wish it was American-made but it was the right size and price.)|Positive
I am very disappointed! Setting this cooler inches in front of you will not help any. I wish i would have returned it when I had the chance but, I didnt try it out soon enough :(|Negative
I purchased this product for a relative to help her deal with the extreme heat. When it arrived i set it up for her, and got it running. She noticed that the sleep feature did not work. I contacted home depot, they advised me i could bring it in and be credited to purchase a new one. Luma comfort was not so cooperative, the offered plenty of excuses on why the device did not function properly, good thing i dealt with home depot on this, because the Manufacturer has a lot to learn about customer service. We received a new one, and it works great. Thanks to Home Depot.|Negative
Great price, fast shipping, super easy to install.|Positive
The cooler pads for the MasterCool evap is sooooo overpriced, I sold the Master Cool window evaporative cooler & bought a window AC unit. Don't have to worry about paying almost $100 including tax & shipping, to replace the sour smelling pads AGAIN!!|Negative
Easy to install, does not handle power surges well.|Positive
This evaporative cooler has basically changed my life! My husband and I have tried everything to cool down our apartment in the summer and nothing's been working until now. We live in Phoenix, so it gets incredibly hot and super dry. When we turn on our evaporative cooler and let it work all day, when we come home it feels so amazing and has cooled down significantly. I highly recommend this to anyone who has suffered from summer heat!|Positive
I have owned 3 other units similar in size but this one is one of the best, they really thought of everything. Works great!|Positive
I choose this cooler for our place in VT where we only have window units. Our Ceiling fan died here in Fl and I thought why not try it? It made a significant difference in how cool the room was. Like other people mentioned, this will not replace an a/c unit. It will cool your room down significantly and pleasantly. Surprisingly, it didn't make the room overly humid. Since we live on the water I thought that it would. We've run it with and without the water tank filled which is basically like a fan. I like the remote control and the timer feature is brilliant. The water tank stays filled about 7 hours so using the timer feature is a smart way to not run the cooling unit without water. The ice packs are handy but I liked adding ice chucks to the water to get extra cooling. It's quiet to operate and the directional fan setting is great. It's easy to wheel around by the handles on the sides. One more feature I liked was the air filter is easy to remove and clean, it just pops off of the back of the unit.|Positive
Surprisingly impractical side lacing that left me scratching my head. I don't understand why this design didn't use SIDE VELCRO to secure the cover rather than the odd plastic buckles that leave multiple inches of gap up and down the corner of closure.|Negative
Cooler works good, easy setup and very quiet. Used to replace similar one.|Positive
Is cooling enough|Negative
Easy to install in swamp cooler. Works like new now.|Positive
This product overall deserves 5 stars. It is by far the best portable cooler you could imagine. However,,,, it came without a screen filter. it shows one, even has instructions on how to clean it in the instruction book, but didn't have one. When we contacted the company (which by the way, Home Depot was super helpful in arranging for us), that said in China, they decided to leave that part off. Okay,,,,well then they should take the picture and instructions of the filter off. Anyway, here in Phoenix, you need a screen filter on anything that moves air so we just built one ourselves and solved the problem. Love the cooler and would buy another if needed even knowing what we do about the filter. Yeah, it's that good.|Positive
I've been working with evaporative coolers on my 20+ rental properties for over 9 yrs now. The thickness of the metal on this one is considerably thinner than others I have worked with. One bolt that holds the motor bracket assembly snapped in two while I was trying to tighten it. I'm switching to Plastic Evaporative coolers, eliminating the belts that constantly break and fighting with rust. To me, this unit will not last very long given how thin the metal is and how easily bolts are snapping even before it's put through the harsh conditions it will go through.|Negative
Bought wrong size, but cut it down and made it work|Positive
I've had it about 4 days now, so far its okay, its no A/C but I'm sure we are all purchasing this because the majority don't have A/C for whatever reason. Think swamp cooler cold. Its not so bad and so far works great.|Positive
Fitted the unit on to our machine and it immediately worked perfect. And seems to keep on doing the same.|Positive
This motor was exactly what I was looking for. All the motors in stores at this size were 2 speed, while my house wiring would support only one speed. Old motor I replaced turned out to be 2 speed and running on low. This one is putting out much better airflow. Plus better bearings means it will last a lot longer. Very happy with this purchase!|Positive
It Fits Perfectly and keeps the cold air out , am very happy with this product|Positive
Excellent unit. works beautifully.|Positive
exceptional cooler, works great. However it came dented in two places. Credit was given without hassle . Am very satisfied with entire purchase.|Positive
Upgraded from smaller units and these move considerably more air. Very convenient to have everything already include (motor, pump, pads). Installed though the wall so had to enlarge the existing holes to accommodate the larger vent/control panel, which I expected.|Positive
This item is what it says it is. It's built well and should keep us cool. The problem is however...the opening that attaches to the roof's opening does not match up. On ordering this item, no choice is made for different sizes on the bottom of the unit. The cooler is the same brand and size as what we have that has worn out after 14 years. So buyer beware of this problem. So, we have it on our roof but have not been able to attach it yet. We are constructing an adapter so it will fit properly. We've loved the old one up until it started to rust out. If it had fit or give us size options on the downward draft fitting, we would give this high marks. Just be careful.|Negative
It is a great product and holds well. The only bad thing is that air goes through it ......and it can cold in the room...but, I guess it needs to be breathable or you get mold.....|Positive
"The old valve was rusted and leaked like a sieve. After a bit of WD40 and two vise grips the old float valve was removed. That took about 8 minutes including the 5 minutes to let the WD-40 soak in. Installed the new brass valve in less then a minute or two I was back in my office enjoying the cool air. After 10 minutes I went out to check if the overflow was pouring out water like it was before and it was completely dry. Thanks Home Depot for another great DIY product. BTW, this unit was serviced, ""by a pro"" that the association hired last year. My water billed sky rocketed because he only changed the float and not the valve. Guess if you want it done right you gotta do it yourself."|Positive
Sometimes looks almost like an AC, i want to try with an ice bag on the water, blow a lot of air, is not too much noisy cons, the ventilation material and clip holders of the filter are a little weak, need to be careful i use it in Miami, FL and even with this weather works great|Positive
Wow can't believe you would sell this with 1/8 inch female fitting when 99% of connections male to female 1/4 inch from the swamp cooler?? Why not all 1/4 inch ?? Well now in order to make this fit you spend xtra money for more fittings. Just not right and you must want your customers too spend more money|Negative
Well made unit, wide range of controls, looks nice…..but misses the mark on primary function as it does not really blow out any cool air. Does improve humidity but will not help to cool room.|Negative
Motor seems to be working fine. The true test will be to see how it holds up over the long run. It would have been nice to have the options of the new cord and mounts.|Positive
Doesn’t cool @ all. I was better buying@ AC unit instead. Not a very good purchase on my behalf.AJV|Negative
It's quiet, so we put it in our bed room. So far so good.|Positive
Seems to be good quality. Loose fit, but says it will shrink. We'll see. Yellow color stands out on the roof. Should make them of brown canvas to blend in with most roofs.|Positive
I thought it was more like a regular cooler,but instead it is all plastic,and is not going to last long. Not a good purchase for the price.|Negative
The unit puts out a good volume of air, better than I expected and there is a few degrees of cooling effect within that breeze. I also have a portable a/c that puts out a colder, but much less volume of air and by using the two in conjunction under a covered patio, you can survive those 100 degree days in comfort.|Positive
Tie down straps that look like they might work. I think the part that locks the straps so they do not move is not as effective as they could be. I was able to pull them apart with just hand strength. Still, they appear like they will last for a while. I think the straps could be wider and the part that bites down could be more robust. Usually you have another metal part to weave the straps into but this just has one. I plan on using them to strap in parts in my daughter's pickup bed to hold things in place while she travels. I will make a square knot tie as the final guarantee that they do not come loose. There ya go!|Negative
Easy to fit while indoors, squeezing the cushion sides through vent opening after removing vent louvers.|Positive
We love our new cooler! It does exactly what it says it will do and it is very quiet. The only thing that I am not thrilled about is that there is not an auto shut off for the water pump that would allow the fan to keep running and the water pump to shut off to prevent burn out. I have to set the timer to shut the unit off in the middle of the night to keep it from running out of water.|Positive
Product was excellent fit, help protect my home uses of all season long.|Positive
goodproduct|Positive
cover could use reinforced holes on bottom to attach ropes to for more protection against wind. but good fit|Positive
It fits well and was mostly easy to put on. I would like to have more cords and instructions on how to install. I thought the material would be heavier but it seems to be enough . I have had it about a month and still looks like new.|Positive
everything I expected.|Positive
This 1 HP was a good fit for my Master Cool 6500 cfm. Easy install and running smooth.|Positive
The unit i purchased is defective. Spoke with a company rep this morning - have to swap the unit for a new one.|Negative
This cooler was easy to set up. It works great. It is quieter than expected.|Positive
This is an excellent pump! The evaporative cooler has been used pretty much non-stop all summer. The pump is quiet, and effective. Highly recommend!|Positive
excellent fit and finish for my swamp coller|Positive
i live here in AZ with temps in the 100 degree +. electric went up last year by 40% so this unit will save me a ton of money in the dry months. really great construction with all the adjustments any one would need. the remote control saves me on walking up and down stairs to turn unit on and off.|Positive
I live in an extremely dry environment and this has been the best way to cool down for our whole (only 900 sq ft 2 story) town home.|Positive
Pretty much an expensive fan. In fact a window fan is better than this because it does circulate the fresh outside air as opposed to this big box that requires a refill of water at least once per day yet it feels no different on cool mode than it does in fan mode.|Negative
Works very well. Purchased for use in garage. Easy to use, cools very good in hot temps|Positive
What a difference. Just set it to your comfort level and forget it.|Positive
The float valve is an exact replacement and works fine.|Positive
Too large but have not yet used the Evap. The fan is OK but noisy.|Negative
The new one works fine.|Positive
it fit|Positive
the price of this pump is reasonable and very easy to insall|Positive
Superior quality compared to less pricey cooler floats. I looked at all three different models and ease of adjustment and workmanship.|Positive
Huge upgrade from my old 6 switch. Once it's set up it's very intuitive and will save me from several cold mornings after having to leave the swamp cooler on all night. Converting the 6 switch was a little more involved then some of the other reviews made it seem. Of what used to be a junction box connecting the power supply, swamp cooler, and old thermostat, I had to install the control panel (included) in a very tight attic and run a 18-3 thermostat wire to where my old thermostat was. As a DIYer, I had no issues with the product, all the issues I had installing were due to the faults of my very old house. So double check you have access to the junction box and will be able to run a new thermostat wire where you need it to be.|Positive
I put a thermometer directly on the air vent of the cooler. In a two hour period it lowered the temperature of the air coming out of the cooler by 2 degrees. I checked the pad on the back and it was wet with water running down it as required but no cool air. It worked as an expensive fan but it did not cool. I am in Phoenix and the humidity is in the single digits. It should cool great but doesn't. A lot of hassle to repack it and haul it back to the store for a refund.|Negative
I have a 3500 square foot retail space with high ceilings. Our AC is broken. While this unit definitely isn't big enough to cool the whole space, it has definitely helped take the edge off.|Positive
Way too expensive for just a bunch of cardboard. A $118.00 seriously!. I never would have bought this $800 cooler if I would have known I would have had to spend a hundred and twenty every year to change the filters. Like I said $118 worth of cardboard. Companies like this don't deserve to exist. Even $50 would have been too much but okay... You got me.|Negative
It is a beautiful tower. It does the job as described but it does not cool down the entire room. The instruction of how to open the water compartment is wrong. No clear instruction of which side to insert the battery to the remote control. It was really hard to insert, the battery kept popping out. It is a bad design. The water compartment can be pulled out but can not be removed off the main unit. However, it has a hole to release water, and the entire unit is light, so it is easy to carry the entire unit to the sink to clean. I wish the heigh of the wheels can be adjust a little to slightly tilt the tower up so the air can flow to a more higher space to cover my entire body when I am sitting.|Positive
Works so well!|Positive
This portable evaporative cooler is wonderful. It works better than I expected. I have never even had to use it on anything but low. I am in a basement, but the temperatures have been 90 to 100 degrees lately. I would buy it again.|Positive
Easy to install,unit runs smoothly now, no problems during installation|Positive
Simple install, really nothing to it. Works fine for small to medium size coolers. I'm using it on a Bonaire Durango. Since there's really only one full size pad, and two mini pads, this unit fits the need easily.|Positive
The product is great|Positive
This cooler works great. I've had it installed for about two months now with no problems, absolutely no leaks, and very good operation. The only negative comments I have are: the sheet metal is somewhat flimsy, so you have to be careful when you remove the inspection panels not to bend them; a couple of sheet metal screws were over-tightened at the factory and the threads were stripped as a result; the filter media added a mild but odd odor to the air for the first week or so of operation. I would abolutely buy this cooler again and I would recommend it to a friend. Strangely, it was much cheaper to buy the bare unit and purchase the motor, pulley, and purge pump separately rather than buying a complete assembled unit.|Positive
"Great product. Adequate cooling for an evaporative cooler. The only issue I had was the manufacturer should have installed a standard sized garden hose fitting for the hose hookup instead of supplying an ""adapter"" to modify my garden hose in order to get it to work with the fitting installed on the cooler, thus the hose can't be used for anything else."|Negative
Working good|Positive
The air conditioner arrived at the store very soon after ordered. The condition of the packaging and the unit were great----absolutely no damage at all!|Positive
I love my new air portable evaporative cooler!! I have been wanting one of these for awhile because living in the California Desert can get pretty miserable in the summer! .This unit is way more affordable than using central air and uses 75% less energy plus keeps my house just as cool as central ac. I also love that it is eco-friendly, all natural and needs no harmful chemicals to operate. This unit is incredibly powerful and quickly cools an area of 250 sqft. We just roll it into whatever room we need it, plug it in and it instantly cools the entire room. I'm also impressed with how quiet this unit is and you barely even notice it is on. Amazingly it requires about the same amount of electricity as needed for a 100-watt light bulb so this is going to save us hundreds in electric bills this summer. These coolers work best in low humidity climates so we are fortunate to live in an area we can use this and have the opportunity to save on electricity with this. The only month the humidity is high here is in August but all the other months this unit works perfectly. I also like that it has three fan speeds and two operation modes so I can easily choose my cooling options according to the weather. .The unit even comes with an optional ice pack container to make the air even cooler if needed. I haven't needed the ice container yet because the unit alone has been keeping our rooms pretty cool as it is so far. We would definitely recommend this new air portable evaporative cooler to anyone who lives in low humidity climates and wants to save hundreds in electric bills over the summer months.|Positive
"This works. It actually will blow in cooler air then the room temperature but it is not an AC unit nor should it be looked at as a ""portable swamp cooler."" It is ok for sleeping in a hot room and having it blow directly on you. You will cool a bit, but everyone else in the room will still be warm. For the price point of this product it isn't really that great a value. You are better off getting a window AC unit. Cheaper, will give you enough cooling power to cool a room rather than a person. If you have horizontal sliding windows check out youtube for ways to jury rig your window AC unit to work with those windows."|Negative
Awesome I bought 2coolers my experience was great all the way from shopping online to delivery to my house. Great overall experience that is why I shop Home Depot online|Positive
Product is exactly as described and made of quality materials that should last numerous Winters!|Positive
Air is not as cool as we hoped it to be.|Negative
Highly recommend works great|Positive
I used this cooler in my greenhouse orchid room. It is a replacement for the same Champion unit that was eleven years old. It does the trick and works for me by not taking the humidity out of the room while it cools. Home Depot was a great way to purchase it. It was cost effective and easy.|Positive
Everything worked as expected. We sre finally cool!|Positive
No the pump has already gone out in it shortly after I got it|Negative
Good as a fan but it does not cool at all. Definitely not for Florida.|Negative
Heavy material and well constructed. Highly recommend.|Positive
Works like it should|Positive
I got this product to help with hard water deposits on my new swamp cooler. Very easy to install and now only time will tell if it works. But, I have noticed that I don't have the same mineral buildup occurring that I used to get. So maybe it's working!|Positive
These filters are becoming more and more difficult to find. I was pleased to find them at Home Depot, because I have two stores near me and they are easy to deal with. The filters installed and work as they are designed. Handle them with care as they are a bit fragile until installed then they just do their job, clean and cool our very dirty outside air. Free shipping was a bonus as the box is very LARGE but lightweight. With our water I can only get about 4 years out of a set, then they must be replaced. All in all a good experience with Home Depot and the product.|Positive
Even with the ice packs in the water it blew borderline hot air out the front. If you want just an expensive fan, it will work out for you. I will be returning it.|Negative
I purchased this evaporative cooler and it's worked really well all things considered. I live in SoCal and occasionally the humidity gets too high for it to work as more than a big fan, but in dry climate and when the humidity is low, this baby screams. I can easily and efficiently drop the temp in my house more than 10 degrees. I would caution that if avg humidity is over 30% in your area, do not get this. It will not meet your expectation at all. But if you're in a dry climate, looking for something more earth friendly and wallet friendly on your bills, it's an excellent unit.|Positive
The original pump stopped after three year - so had to replace with a new pump. This new pump is OEM - just the same as the one that came with the cooler.|Negative
it lasted one day|Negative
This is the product the manufacturer recommends to keep the hard water deposits dissolved and the portacool operating at maximum performance. Supplied one from factory matched.|Positive
NICE WELL MADE EVAPORATOR COOLER/CENTRAL AIR COVER- It helps keep the dirt, leaves,etc. out of the motor. Put it on a couple weeks ago,since the temp. here has finally cooled down and it should work well for the winter. The heavy duty fabric it is made from says: it is 200% stronger and 80% more water resistant than cotton canvas. It has 2 nice double netted vents for good cross ventilation too. Comes with an adjustable cord to keep it snug and secure,although we did add an extra strap around the middle due to the high winds we get in our area. So far so good! Stayed on in the last recent wind storm!! Good value for such a heavy duty cover. I believe it will last for quite awhile!|Positive
Met all my expectations.|Positive
"I bought this as my 20 yr old cooler finally rusted out. This is the same physical size as the old one. It is a ""window"" cooler but installed thru the wall as a permanent installation. This cooler works great! It doesn't quite have the air flow of the old one but the outlet grill is a little smaller too. The grill provides very nice adjustability with 3 separate movible grills to direct air flow to the right, left, up or down. This unit is quieter to. My old unit had the black goopy sealer on the bottom of the water reservoir to protect against rust. The new one has a 10 year rust proof warranty against leaking with a very nice durable powder coated (I think) on the whole cabinet... very nice! I was going to install a coat of the black goop but they specifically tell you not to as their coating is too slick and the black coating can come of and plug up the other components and void the warranty... so no goop. This cooler is very nice, good quality, and works really well."|Positive
This unit although beautiful in design does not measure up to its potential. I was pleasantly surprised by the size and ease of setup right out of the box. However that was short lived once I plugged it in. How should I put this. HMMMM my 90 year old grandmother could blow hard than this unit does, not to mention the only thing that it could cool would be a room that's like a 6 X 8 cell.|Negative
GREAT PRODUCT, GREAT SERVICE. A VERY QUIET RUNNING EVAPORATIVE COOLER.|Positive
Met expectations|Positive
Cools well in our werehouse even on medium.|Positive
Works like a dream!|Positive
Great equipment|Positive
The cooler doesn't cool off my bedroom, I am very disappointed and if it were easy for me to return this I would. The temperature in the room remains the same whether or not the unit is on, the only thing that works and helps some is to have it blowing directly on me for air movement. This had such good reviews from others that I am not sure if I got a BAD unit or ????|Negative
Great Swamp cooler, use it daily. If you live in a low humidity area, these types of coolers are indispensable. I use it on my back patio to help cool off in the afternoons while relaxing after work. It is plastic, but seems durable enough for what it is. This puppy can use allot of water. The fan is very powerful and pushes the air well. I keep a hose attached to mine outside, so I do not have to worry about filling the water tank. Yes, it has a float gage which is highly visible from the front of the unit. So far I am very pleased with the unit.|Positive
Installed float and 2 months later evaporator was overflowing. I adjusted the stem farther. Still flowing. I raised the stem with my hand to make sure it was in the complete off position and the water still leaked. The leak was a flow not a drip even with the stem pulled all the way up. I'm buying the bronze valve float. It's $14 instead of $5, but the extra 9 bucks is worth it for me not to have to get up on the roof again.|Negative
It did not come with clips but it was easy to install|Positive
Perfect|Positive
"THE TREATMENT PRODUCT IS EASY TO USE. SINCE IT WAS PUT IN MY 36"" PORTABLE COOLER, THE WATER IS BEING ABSORBED INTO THE COOLER PADS BETTER AND THIS HAS MADE THE COOLER UNIT PERFORM MUCH BETTER."|Positive
eorked like a charm|Positive
This evaporative cooler does the job. Easy to use and fill, easy to move. Makes a little noise but it's more of an ambiant noise. Have had the first one for over a year and haven't had any problems.|Positive
Despite following all instructions and living in an arid location, the swamp cooler did not work. It just spewed water all over the floor and then just acted like a glorious fan. Ended up taking it back.|Negative
The smell is the only bad thing|Positive
Living in San jose with no AC was getting out of hand, but once we got our units we put ine in the front of the apartment and one in the back and it made summer so much easier.|Positive
Pain in the behind to change but good quality.|Positive
This is the second one I have bought. Replacement for the first one that is almost 20yrs old now. Long life due to maintenance evey year, replacing pads every other yr. Oil pillow bearning evey other month, and motor. New one come's without motor, but have existing one that is only 2 yrs old. Not sure if new come's with pump? But also have existing pump that is only 1 yrs old. Side Draft for easy service. Their 1/10th the coast of regular air condition. Just the thing for So. Calif: For the price, it cant be beat.|Positive
The belt works yea!|Positive
Three improvements needed: 1. handles on the sides for easy removal and replacement of the front 2. Louvers that move vertically and horizontally 3. filter to remove desert dust. Bonding with the unit would be easier if installation pics and instructions were clear and step-by-step.|Negative
Works great, made of good material. I was worried it may come off with the high winds in my area, but hasn't budged with all the wind so far.|Positive
the product lives up to its reviews. a little noisy on high but fans make noise. goes through about 1 gal. of water an hour.|Positive
"First off, it's well made, using quality metal and parts. With the exception of the padding, which is straw, and I just replaced it with the blue synthetic type, so not so much of a big deal. The unit has a direct drive fan, that puts out too much air for the small single pad, and on high speed it's just too much air flow for it to cool right. The fan is just too much, sometimes less cubic ft. per minute is better, and this is one of those time. The fan is very loud. The water reservoir is very small, so if you turn it on when it's already hot, the water will be hot. So you have to go outside first, and splash the water out to get some cool water in it, before you turn it on. No there is no drain plug on this unit. The vents aren't much good as it comes from the factory. The face is almost entirely open, so I had to cut some card board to fit the inside of the face, so the two round vents would actually work as intended, otherwise the air just mainly blows straight out. I'm using this on a 30' travel trailer which is 240 square ft. It does not cool the entire trailer. The swamp cooler should be rated more like ""cools 100 square ft"" instead of 400 square ft. Still it beats nothing when the temp is around 95 or so outside. For what you get, it's highly over priced, this unit should sell for around 200. The two design flaws are the main reason. Too small of a water reservoir and the turbofan out of a small jet engine... I should add that the little stand of legs it comes with will only work well, it your walls are about 6-8 inches thick. The little pipes that support it against the wall are just too short. I had to take them out, and reposition them to stick straight out. They use two single hole electrical conduit straps to hold them in place, and the pipes just slide in them, so I wrapped tape around the pipes to make them stay where I clamped them down. It's a nice little concept, just has two design flaws, that seriously hinder it's ability to work correctly."|Negative
I was using a digital one but after 4 years it went out on me.I thought it was my swamp cooler and it took me all summer to figure it out.But once I changed the switch it has not given me any trouble.|Negative
It's a great air conditioner and puts out a good quality amount of air|Positive
This product is replacing one that is has lasted 30 plus years and appears to be made from the same mold with a 5500/6500 CFM rating.. Home depot should make it a store item as it is rated for homes up to 1800 Sq feet. Most homes in this area are this large and larger. More care should be taken during the factory assimbly stage as there were several striped out sheet metal screws.|Positive
Good airflow. Helps take a few degrees off the summer heat. I put a box fan blowing out on the other side of the room and that seems to help keep the humidity down. Has a little bit of a smell, but it has lessened over time.|Positive
Easier to install than the original pads and cost less. What's not to like!|Positive
The unit does not cool as advertised. Also, after two weeks one of the ice packs is leaking a green substance.|Negative
Arrived fast complete only had to install wheels works prefect great for inside garage just need to leave door open|Positive
First off, if you don't understand swamp coolers already then this isn't the product for you. I've used them for years, and even I had to tweak things a bit (things that should have been in the manual but weren't). I'll skip basic swamp cooler knowledge and go straight into this model - you have to REALLY tune the drip rate and direction of the water via the control knob AND the little output pipe. You want the filter media to be damp, but not soaked. At the maximum flow setting there is WAY too much water being fed - I don't even think in front of a window with 110 degree temps could make use of that much flow. Ideally you'd have a small corner of the media actually dry - the thinner the layer of water the better the evaporation. Again, having the media SOAKED is not ideal (for ANY swamp cooler). With this model I've found that you almost have to have the flow control knob all the way OFF to get proper evaporation (although I haven't tested the thing beyond 85 degree temps yet). Another mild annoyance is this means the pump is recirculating the water a lot, and it drips audibly back into the tank. I think I'm actually starting to like that sound though, kind of reminds me of camping next to a small creek. Bottom line: This product isn't the most user friendly thing right out of the gate, and the manual should have included a section along the lines of my comments here. After spending a day with it though I'm very happy. Final thought: MOST PEOPLE HAVE NO CLUE how to properly use a swamp cooler in the first place, and without that knowledge I could definitely see people being very disappointed in this product.|Positive
Easy to install. Perfect fit. Felt the cold air stop immediately. Thank you!!!|Positive
First set lasted only 3 months, then began to fall apart. I hope these last longer|Negative
Awesome to buy. I enjoy buying Bonaire Durango. Very efficient and worth it to buy it.|Positive
I had to return the first one I purchased because it leaked water. My wife was fit to be tied as they say. However I liked the concept of the product, the features it has especially for the price, and decided to give it another try. I returned it to Home Depot and told them it leaks but I would still like to try one more. No problem they said. Refunded my money, then ordered me another one right then in the store. This one works just fine. I like the fact I can add ice into the water tank or, on the top of the machine there is also an ice compartment. Good size too. Just lift off the lid and add your ice. Very happy with the second one. I would have given it 5 stars had I not been given that bad one at first. Same with my quality rating. Can't give it a perfect score when I had to exchange a bad one. The picture shows the compartment and lid on the top of the machine where you can add your ice.|Positive
It is a great tool|Positive
I installed it but it is so flimsy that I do not think that it will last long. We will see.|Negative
Good Cooler. Some parts were bent a little. The frames would not go back in the cooler without some adjustments, It does cool well.|Negative
The cool air this puts out is great. I have it in my living room ( which is small). Initially it has a horrible odor when you run it for the first couple times so I thought something was wrong, but the product brochure indicated this is normal. What I don't like is that the water access area to fill it is extremely small which makes it very difficult to fill and I end up pouring the water all over my carpet in the process of filling it. Once full you can run it about 3 hours before needing to fill it again so definitely not a unit to leave on while you are away from home.|Negative
Horrible, couldn't cool you off if you were standing right in front of it, let alone an attire room. I returned it.|Negative
