source_region,destination_region,passengers,bookings,rpk,month
Africa : North Africa,Africa : Eastern Africa,21222,7254,50692584.0,2012-09-01
Asia : North East Asia,Europe : Eastern/Central Europe,465748,105099,1837704506.0,2012-01-01
North America,Africa : Central/Western Africa,37883,30475,393557724.0,2012-11-01
Europe : Western Europe,Europe : Western Europe,27239878,7144976,27386661196.0,2012-12-01
Southwest Pacific,Middle East,33256,26801,409953516.0,2012-06-01
Southwest Pacific,Latin America : Lower South America,12851,6957,163874824.0,2012-11-01
Latin America : Upper South America,Asia : Central Asia,9,34,124920.0,2012-01-01
Africa : Southern Africa,Middle East,25826,16229,175738947.0,2012-08-01
Africa : Eastern Africa,Middle East,87610,49666,257133375.0,2012-10-01
Africa : Eastern Africa,Asia : South East Asia,10583,6507,80193883.0,2012-01-01
Latin America : Lower South America,Latin America : Upper South America,175053,91304,643956132.0,2012-09-01
North America,Europe : Eastern/Central Europe,195117,170847,1601900793.0,2012-08-01
Asia : Central Asia,Latin America : Upper South America,123,14,1615079.0,2012-11-01
Africa : Southern Africa,Latin America : Lower South America,18629,10192,142974055.0,2012-02-01
Asia : North East Asia,Europe : Western Europe,627388,262714,5845600843.0,2012-02-01
North America,Asia : North East Asia,843940,393329,8457181886.0,2012-09-01
North America,Latin America : Caribbean,1103471,476861,2957174870.0,2012-02-01
Africa : Southern Africa,Latin America : Caribbean,1246,661,15632669.0,2012-08-01
Latin America : Caribbean,Latin America : Central America,49432,22789,104901073.0,2012-05-01
Asia : South East Asia,Africa : Southern Africa,14712,12153,160004332.0,2012-12-01
Africa : Central/Western Africa,North America,46537,30995,477163429.0,2012-03-01
North America,Africa : North Africa,30992,21612,259688556.0,2012-11-01
Europe : Eastern/Central Europe,Latin America : Lower South America,8472,7742,98735688.0,2012-06-01
Europe : Western Europe,Latin America : Upper South America,142451,126756,1290747302.0,2012-11-01
Asia : South Asia,Latin America : Upper South America,666,743,10004098.0,2012-12-01
Middle East,Africa : Central/Western Africa,46999,24898,269387072.0,2012-01-01
Latin America : Caribbean,Africa : North Africa,239,171,2259139.0,2012-05-01
Latin America : Caribbean,Africa : Central/Western Africa,459,397,5264051.0,2012-06-01
Europe : Western Europe,Africa : Eastern Africa,175579,111290,1378543613.0,2012-02-01
Africa : Southern Africa,Asia : North East Asia,25474,9970,312066511.0,2012-05-01
Africa : Eastern Africa,Latin America : Lower South America,401,470,5147503.0,2012-09-01
Middle East,Asia : South Asia,1132196,734637,3348266965.0,2012-08-01
Latin America : Upper South America,Europe : Western Europe,126046,96998,1115379299.0,2012-11-01
Middle East,Latin America : Lower South America,10755,8290,135778040.0,2012-08-01
Africa : North Africa,Latin America : Caribbean,290,195,2702026.0,2012-06-01
Africa : Eastern Africa,Asia : North East Asia,21682,10187,202623121.0,2012-07-01
Europe : Eastern/Central Europe,North America,171445,139875,1406581335.0,2012-05-01
Asia : Central Asia,Africa : Eastern Africa,78,44,627173.0,2012-08-01
Africa : Eastern Africa,Middle East,93650,57697,267811377.0,2012-07-01
Latin America : Upper South America,Africa : Southern Africa,419,516,5515140.0,2012-04-01
Europe : Western Europe,Latin America : Caribbean,260784,144728,1932101512.0,2012-11-01
Latin America : Central America,Southwest Pacific,1132,1184,16285809.0,2012-10-01
Asia : Central Asia,Southwest Pacific,242,213,3169143.0,2012-02-01
Asia : North East Asia,Africa : Eastern Africa,22580,9958,212719415.0,2012-09-01
North America,Latin America : Caribbean,1183124,575137,3020617433.0,2012-08-01
Africa : Eastern Africa,Southwest Pacific,4963,3627,53122612.0,2012-04-01
Africa : Central/Western Africa,Africa : Southern Africa,35970,23291,160000132.0,2012-11-01
Europe : Western Europe,Europe : Western Europe,38663732,10543252,42983638912.0,2012-10-01
Middle East,North America,179883,135466,1980574733.0,2012-11-01
Southwest Pacific,Europe : Eastern/Central Europe,4737,8984,72493487.0,2012-09-01
Africa : Eastern Africa,Asia : South East Asia,9148,5579,72966584.0,2012-09-01
Europe : Eastern/Central Europe,Latin America : Central America,7556,4395,77888937.0,2012-03-01
Middle East,Latin America : Upper South America,5057,5038,61029999.0,2012-07-01
Africa : Southern Africa,Latin America : Central America,257,290,4219527.0,2012-02-01
Asia : Central Asia,Asia : North East Asia,77199,11945,205204787.0,2012-12-01
Africa : Central/Western Africa,Africa : North Africa,28728,15700,103543318.0,2012-05-01
Latin America : Upper South America,Latin America : Caribbean,83342,37506,128915746.0,2012-01-01
Asia : South East Asia,Europe : Western Europe,512995,431955,5184689256.0,2012-03-01
Latin America : Lower South America,Africa : Eastern Africa,646,666,8569101.0,2012-03-01
Asia : South East Asia,Latin America : Caribbean,610,1841,10130936.0,2012-01-01
Asia : North East Asia,Latin America : Caribbean,2902,1370,41424078.0,2012-11-01
Latin America : Lower South America,Latin America : Upper South America,157704,83535,566549126.0,2012-05-01
Asia : North East Asia,Asia : Central Asia,74741,10193,216622713.0,2012-07-01
Latin America : Caribbean,North America,1110658,454052,2976139751.0,2012-02-01
Africa : Eastern Africa,Asia : North East Asia,23772,10457,223447194.0,2012-08-01
Latin America : Caribbean,Latin America : Lower South America,34270,26547,221966919.0,2012-06-01
Latin America : Central America,Latin America : Central America,2107694,454558,2190408975.0,2012-01-01
Middle East,Asia : South Asia,1059751,664864,3141780251.0,2012-05-01
Latin America : Caribbean,Middle East,1833,1017,21561737.0,2012-03-01
Middle East,Africa : Southern Africa,27785,18436,185451646.0,2012-07-01
Latin America : Upper South America,Africa : Eastern Africa,99,160,1605542.0,2012-03-01
Asia : South Asia,Southwest Pacific,51905,40093,502495590.0,2012-10-01
Africa : North Africa,Asia : North East Asia,37134,16888,320612004.0,2012-11-01
Latin America : Caribbean,Africa : North Africa,263,178,2447122.0,2012-07-01
Asia : South Asia,Latin America : Caribbean,657,723,9039911.0,2012-06-01
North America,Europe : Western Europe,1942987,1146779,14008278691.0,2012-10-01
Africa : North Africa,Latin America : Central America,387,319,4597931.0,2012-01-01
Asia : North East Asia,North America,861408,349725,8667305876.0,2012-10-01
Asia : North East Asia,Asia : South East Asia,1934995,302741,6282263025.0,2012-06-01
Middle East,Latin America : Central America,3968,4046,49993732.0,2012-09-01
Asia : South Asia,Africa : Central/Western Africa,10140,8305,82943662.0,2012-02-01
Europe : Western Europe,Latin America : Lower South America,266480,214292,2633370747.0,2012-02-01
Europe : Western Europe,Latin America : Caribbean,246047,99830,1797306724.0,2012-09-01
Asia : Central Asia,Latin America : Caribbean,192,32,2343788.0,2012-10-01
Africa : Eastern Africa,Middle East,87294,53806,245299225.0,2012-03-01
Africa : North Africa,Asia : South East Asia,11879,8307,107297788.0,2012-04-01
Asia : South Asia,Africa : Eastern Africa,27233,19183,147332579.0,2012-07-01
Asia : Central Asia,Europe : Eastern/Central Europe,190976,50401,556761291.0,2012-11-01
Africa : Central/Western Africa,Africa : North Africa,32245,22782,115308893.0,2012-09-01
Latin America : Central America,Asia : North East Asia,11582,5937,142905816.0,2012-11-01
Latin America : Upper South America,North America,234342,128345,935595052.0,2012-02-01
Latin America : Central America,Africa : Eastern Africa,138,180,2189691.0,2012-09-01
Latin America : Lower South America,Asia : Central Asia,124,90,1805605.0,2012-10-01
Africa : Central/Western Africa,Europe : Western Europe,238727,138887,1174832871.0,2012-11-01
Latin America : Caribbean,Africa : Eastern Africa,120,163,1833616.0,2012-03-01
Asia : North East Asia,Southwest Pacific,362471,102031,2285876543.0,2012-05-01
Asia : South Asia,Europe : Western Europe,449153,385053,3258852553.0,2012-03-01
Asia : North East Asia,Africa : Eastern Africa,21454,9660,190899131.0,2012-05-01
Asia : South East Asia,Asia : North East Asia,2150628,361395,7056683735.0,2012-08-01
Asia : Central Asia,Asia : South East Asia,9117,3973,47921096.0,2012-12-01
Latin America : Lower South America,Asia : South Asia,2879,2644,42629631.0,2012-09-01
Latin America : Upper South America,Asia : South Asia,362,636,5657203.0,2012-03-01
Africa : Eastern Africa,Africa : Southern Africa,50638,31330,151823467.0,2012-03-01
Africa : North Africa,Europe : Western Europe,1017055,385843,2015277552.0,2012-06-01
Southwest Pacific,Latin America : Caribbean,33,287,634463.0,2012-08-01
Middle East,Africa : Southern Africa,28646,18796,195033767.0,2012-04-01
Latin America : Upper South America,Africa : North Africa,600,619,6431318.0,2012-06-01
Latin America : Central America,Europe : Western Europe,125681,79121,1125806580.0,2012-09-01
Africa : Southern Africa,Asia : Central Asia,94,138,1071377.0,2012-01-01
Latin America : Upper South America,Asia : South East Asia,1014,1155,19406550.0,2012-12-01
Middle East,Latin America : Upper South America,4507,4408,53552002.0,2012-10-01
Middle East,Africa : North Africa,408670,196259,849471967.0,2012-12-01
Africa : North Africa,Europe : Eastern/Central Europe,70289,11824,221734817.0,2012-12-01
Asia : North East Asia,Middle East,127519,44527,876855192.0,2012-12-01
Asia : South East Asia,North America,180319,133512,2324568825.0,2012-11-01
Africa : Central/Western Africa,Africa : North Africa,34725,20855,124946255.0,2012-10-01
Africa : Eastern Africa,North America,32801,34674,410908361.0,2012-08-01
Asia : South Asia,Europe : Western Europe,366458,246808,2644706736.0,2012-07-01
Africa : Central/Western Africa,Asia : South East Asia,7518,5305,84669488.0,2012-07-01
Asia : North East Asia,Europe : Eastern/Central Europe,525268,141185,2199652883.0,2012-04-01
Southwest Pacific,Africa : North Africa,1194,1550,17545261.0,2012-05-01
Europe : Eastern/Central Europe,Middle East,175348,92621,491991473.0,2012-04-01
Africa : Eastern Africa,Latin America : Central America,241,148,3827711.0,2012-06-01
Europe : Western Europe,Asia : South East Asia,511332,398732,5142358229.0,2012-01-01
Latin America : Lower South America,Latin America : Caribbean,41854,37129,279097735.0,2012-01-01
Asia : South East Asia,Latin America : Caribbean,686,1294,11088888.0,2012-04-01
Latin America : Upper South America,Latin America : Upper South America,2701857,1063332,1519448222.0,2012-05-01
Asia : South Asia,Europe : Eastern/Central Europe,26846,15891,159825923.0,2012-07-01
Asia : North East Asia,Asia : North East Asia,31365436,685951,36107613690.0,2012-03-01
Africa : Eastern Africa,Asia : South East Asia,9102,5737,71438330.0,2012-04-01
Europe : Eastern/Central Europe,Southwest Pacific,5109,8662,81378460.0,2012-11-01
North America,North America,39256587,13126603,69488055442.0,2012-12-01
Africa : Eastern Africa,North America,19110,18891,242094239.0,2012-02-01
Africa : North Africa,Latin America : Central America,430,371,4924316.0,2012-12-01
Latin America : Central America,Europe : Eastern/Central Europe,6277,4144,65065743.0,2012-08-01
Asia : North East Asia,Latin America : Lower South America,22805,15242,416794629.0,2012-05-01
Latin America : Caribbean,Africa : Eastern Africa,219,231,3322240.0,2012-06-01
Asia : Central Asia,Africa : Eastern Africa,118,48,941655.0,2012-03-01
Southwest Pacific,Latin America : Caribbean,124,458,2209688.0,2012-02-01
Asia : South Asia,Africa : Southern Africa,16547,10597,134875097.0,2012-08-01
Latin America : Caribbean,Africa : Southern Africa,902,653,11994797.0,2012-12-01
Africa : Southern Africa,Asia : Central Asia,72,92,826186.0,2012-02-01
Middle East,Asia : Central Asia,22027,4934,64451203.0,2012-09-01
Southwest Pacific,Africa : Eastern Africa,5637,3251,58823480.0,2012-05-01
Southwest Pacific,Asia : Central Asia,999,178,10335083.0,2012-12-01
Asia : South Asia,Southwest Pacific,63160,53020,653343549.0,2012-03-01
Latin America : Central America,Latin America : Upper South America,109548,72439,244316010.0,2012-08-01
North America,Asia : South Asia,154640,158125,2094861205.0,2012-02-01
Latin America : Upper South America,Africa : Eastern Africa,127,176,2024232.0,2012-07-01
Asia : South Asia,Africa : Eastern Africa,25929,20560,143570448.0,2012-03-01
Asia : North East Asia,Asia : Central Asia,79181,11463,222636135.0,2012-10-01
Africa : Central/Western Africa,Europe : Western Europe,238400,131482,1192550679.0,2012-05-01
Asia : South Asia,Europe : Eastern/Central Europe,32370,18313,195374511.0,2012-10-01
Asia : South East Asia,Africa : Eastern Africa,10575,5545,79773324.0,2012-11-01
Latin America : Lower South America,North America,292174,176184,2338332120.0,2012-11-01
Africa : Central/Western Africa,Latin America : Lower South America,1947,1487,18626649.0,2012-01-01
Latin America : Lower South America,Latin America : Lower South America,8312808,1140605,8677820928.0,2012-10-01
Latin America : Caribbean,Asia : Central Asia,41,31,523397.0,2012-01-01
Asia : Central Asia,Latin America : Central America,163,14,2139208.0,2012-07-01
Africa : Central/Western Africa,Africa : Central/Western Africa,765068,239914,556826568.0,2012-12-01
Latin America : Caribbean,Asia : North East Asia,2557,1390,37561285.0,2012-10-01
Africa : North Africa,Asia : South East Asia,14188,10552,127726075.0,2012-09-01
Latin America : Upper South America,Europe : Western Europe,145131,132030,1286195038.0,2012-09-01
Asia : South Asia,Middle East,1080290,643310,3183660902.0,2012-06-01
Asia : South Asia,Africa : Southern Africa,17846,14230,142861705.0,2012-02-01
Africa : Southern Africa,Africa : Central/Western Africa,35844,20734,158431502.0,2012-05-01
Africa : Central/Western Africa,Southwest Pacific,1503,910,24615423.0,2012-08-01
Asia : South Asia,Middle East,926773,604539,2746103824.0,2012-02-01
Europe : Western Europe,Latin America : Central America,115303,68181,1048555922.0,2012-06-01
Latin America : Central America,Latin America : Upper South America,111916,72632,246781403.0,2012-10-01
Latin America : Caribbean,Middle East,1474,1016,17116113.0,2012-08-01
North America,Asia : South East Asia,194244,192789,2444026248.0,2012-12-01
Africa : North Africa,Latin America : Lower South America,1478,1372,18158656.0,2012-02-01
Southwest Pacific,Africa : Southern Africa,11453,5380,134369566.0,2012-08-01
Africa : Eastern Africa,Latin America : Upper South America,118,114,1982751.0,2012-02-01
Latin America : Upper South America,Latin America : Upper South America,2740109,1161751,1570278177.0,2012-09-01
North America,Africa : Eastern Africa,25038,21411,330282491.0,2012-09-01
Asia : Central Asia,Latin America : Caribbean,221,37,2740098.0,2012-05-01
Africa : Eastern Africa,North America,20913,20605,264287436.0,2012-03-01
Middle East,Europe : Eastern/Central Europe,180551,90280,515352896.0,2012-11-01
Africa : North Africa,Europe : Western Europe,1034762,410527,2088609680.0,2012-10-01
Asia : Central Asia,Europe : Western Europe,64015,27921,273008231.0,2012-12-01
Latin America : Central America,Asia : Central Asia,183,12,2397616.0,2012-12-01
Latin America : Upper South America,Latin America : Central America,112963,77584,251386864.0,2012-11-01
Africa : Eastern Africa,Latin America : Caribbean,302,242,4373558.0,2012-07-01
Latin America : Lower South America,Latin America : Lower South America,8422182,1070155,8925336356.0,2012-07-01
Middle East,Africa : Central/Western Africa,47941,25671,272774952.0,2012-12-01
Africa : Eastern Africa,Africa : North Africa,22162,7615,52935658.0,2012-11-01
Asia : North East Asia,Asia : North East Asia,34598909,720973,39729016996.0,2012-07-01
Middle East,Southwest Pacific,29912,21142,364747677.0,2012-11-01
Africa : North Africa,Asia : Central Asia,312,181,1612734.0,2012-11-01
Asia : North East Asia,Latin America : Central America,12488,6405,155371583.0,2012-04-01
Africa : Central/Western Africa,Asia : South East Asia,5647,4819,66476260.0,2012-04-01
Southwest Pacific,Latin America : Central America,1601,1528,21728035.0,2012-12-01
Africa : Southern Africa,Europe : Western Europe,163595,122359,1468199149.0,2012-11-01
Asia : South Asia,Europe : Eastern/Central Europe,44465,28538,269238392.0,2012-03-01
Africa : Central/Western Africa,Asia : North East Asia,17963,9672,220157480.0,2012-07-01
Africa : North Africa,Asia : South East Asia,11157,7765,100047766.0,2012-01-01
Africa : Central/Western Africa,Africa : Eastern Africa,33002,13510,105949656.0,2012-05-01
Africa : Eastern Africa,Asia : South Asia,32051,24622,177719896.0,2012-12-01
Africa : Eastern Africa,Africa : Central/Western Africa,32659,14076,104180726.0,2012-04-01
Africa : Eastern Africa,Latin America : Upper South America,146,164,2308705.0,2012-01-01
Africa : Southern Africa,Asia : North East Asia,28765,10827,352600557.0,2012-07-01
North America,Europe : Eastern/Central Europe,140100,116550,1152989265.0,2012-10-01
Asia : South East Asia,Middle East,280145,193276,1965920529.0,2012-06-01
Europe : Eastern/Central Europe,Africa : Central/Western Africa,7397,4328,47593981.0,2012-10-01
Africa : Central/Western Africa,Middle East,43572,22720,241243939.0,2012-05-01
Asia : Central Asia,Latin America : Upper South America,76,15,1020646.0,2012-07-01
Middle East,Africa : Eastern Africa,86024,41195,247131062.0,2012-12-01
Africa : Central/Western Africa,Latin America : Lower South America,2358,1527,26160418.0,2012-04-01
Latin America : Lower South America,Southwest Pacific,21433,10968,253947682.0,2012-01-01
Europe : Western Europe,Southwest Pacific,153887,139650,2382410436.0,2012-08-01
Asia : South Asia,Asia : South Asia,4830416,1530188,4523687170.0,2012-12-01
Africa : Central/Western Africa,Latin America : Upper South America,786,511,10036823.0,2012-12-01
Middle East,Asia : South East Asia,276306,192030,1949311274.0,2012-04-01
Southwest Pacific,Latin America : Lower South America,12645,7297,159542658.0,2012-03-01
Latin America : Upper South America,Middle East,4137,4604,50112602.0,2012-08-01
Africa : Eastern Africa,Latin America : Caribbean,453,183,6943180.0,2012-03-01
Africa : North Africa,Africa : North Africa,580782,342094,485535629.0,2012-09-01
Africa : Southern Africa,Latin America : Lower South America,16994,8415,130884391.0,2012-08-01
Latin America : Central America,Latin America : Lower South America,64278,51705,434208385.0,2012-11-01
Latin America : Lower South America,Africa : North Africa,2064,1865,25406877.0,2012-11-01
Europe : Western Europe,North America,1389062,709992,10035728149.0,2012-01-01
Middle East,Asia : South Asia,1044026,669129,3063616304.0,2012-03-01
Latin America : Central America,Middle East,2706,2375,34739481.0,2012-02-01
Europe : Western Europe,Africa : North Africa,1010066,512874,1993418464.0,2012-06-01
Latin America : Lower South America,Middle East,11117,8284,139428404.0,2012-11-01
Latin America : Upper South America,Asia : South Asia,287,543,4454303.0,2012-05-01
Asia : North East Asia,Latin America : Upper South America,8219,8274,137486390.0,2012-04-01
Africa : North Africa,Europe : Eastern/Central Europe,71919,10130,229324671.0,2012-01-01
Latin America : Caribbean,Africa : Central/Western Africa,423,421,4894773.0,2012-10-01
Africa : Southern Africa,North America,21666,16119,316207079.0,2012-02-01
Latin America : Lower South America,Latin America : Upper South America,167707,94506,611887203.0,2012-03-01
Southwest Pacific,Europe : Eastern/Central Europe,5278,15581,81887972.0,2012-07-01
Africa : Southern Africa,North America,31407,28498,458124433.0,2012-06-01
Asia : South East Asia,Europe : Western Europe,426746,269757,4353337526.0,2012-10-01
Asia : Central Asia,Africa : Eastern Africa,56,45,431487.0,2012-07-01
Asia : Central Asia,Asia : South Asia,12351,3945,20340875.0,2012-01-01
Latin America : Lower South America,Asia : Central Asia,93,52,1363211.0,2012-03-01
Asia : Central Asia,Latin America : Caribbean,136,38,1681554.0,2012-07-01
North America,Latin America : Upper South America,303350,200210,1219640335.0,2012-08-01
Middle East,Latin America : Lower South America,12900,9897,163249256.0,2012-12-01
Middle East,Europe : Western Europe,924108,504348,3539901116.0,2012-10-01
Asia : South Asia,Europe : Eastern/Central Europe,30401,20835,183279353.0,2012-05-01
Africa : Eastern Africa,Europe : Western Europe,200944,111907,1591097453.0,2012-12-01
Latin America : Lower South America,Asia : Central Asia,110,67,1710736.0,2012-07-01
Asia : South Asia,Latin America : Central America,6642,1088,13760543.0,2012-12-01
Southwest Pacific,Asia : North East Asia,392782,122136,2586769463.0,2012-02-01
Asia : North East Asia,North America,769139,334916,7743061103.0,2012-03-01
Africa : Central/Western Africa,Europe : Western Europe,268253,163716,1329168817.0,2012-01-01
Latin America : Central America,Latin America : Caribbean,44695,20458,97293537.0,2012-06-01
Latin America : Central America,Africa : Central/Western Africa,245,146,3005225.0,2012-02-01
Asia : South Asia,Asia : South East Asia,355953,177044,1143268135.0,2012-06-01
Europe : Western Europe,Latin America : Caribbean,321663,181538,2342380711.0,2012-07-01
Africa : Southern Africa,Africa : North Africa,4791,2982,35493901.0,2012-11-01
Middle East,Africa : Eastern Africa,85810,41276,252949353.0,2012-08-01
Latin America : Caribbean,Latin America : Upper South America,92472,47004,138807343.0,2012-12-01
Latin America : Lower South America,Latin America : Upper South America,158019,89249,572852198.0,2012-04-01
Latin America : Caribbean,Asia : North East Asia,2451,1147,36298704.0,2012-06-01
Africa : Southern Africa,Middle East,27613,18407,189414013.0,2012-03-01
North America,Europe : Eastern/Central Europe,110605,92426,919631166.0,2012-03-01
Africa : Central/Western Africa,Asia : South East Asia,8171,5748,90742097.0,2012-05-01
Asia : Central Asia,Latin America : Upper South America,63,15,863828.0,2012-09-01
Africa : North Africa,Southwest Pacific,2055,1454,30127212.0,2012-04-01
Africa : Southern Africa,Latin America : Caribbean,1000,447,12388453.0,2012-03-01
Middle East,Asia : North East Asia,125012,48969,867069915.0,2012-11-01
Asia : Central Asia,Europe : Eastern/Central Europe,176239,64929,516672879.0,2012-04-01
North America,Latin America : Upper South America,230684,133003,919886813.0,2012-02-01
Latin America : Upper South America,Africa : Central/Western Africa,331,365,4229298.0,2012-11-01
Africa : Southern Africa,Africa : Eastern Africa,43129,26051,130095858.0,2012-02-01
North America,Asia : South East Asia,151982,125466,1925691405.0,2012-08-01
Africa : North Africa,Africa : Eastern Africa,23227,8766,49882115.0,2012-04-01
Asia : South East Asia,Africa : North Africa,11475,8095,101383037.0,2012-05-01
Africa : Eastern Africa,Africa : Eastern Africa,514177,204635,306895204.0,2012-05-01
Europe : Eastern/Central Europe,Latin America : Central America,7666,5076,79764300.0,2012-10-01
Asia : South East Asia,Latin America : Central America,924,1343,16813190.0,2012-04-01
Latin America : Lower South America,Africa : Central/Western Africa,2250,2044,22374752.0,2012-12-01
Europe : Eastern/Central Europe,Europe : Western Europe,2500358,902480,3832837194.0,2012-03-01
Middle East,Europe : Western Europe,1016192,640205,3801222131.0,2012-08-01
Africa : Eastern Africa,Latin America : Lower South America,542,612,7115854.0,2012-10-01
Africa : Eastern Africa,Latin America : Lower South America,797,678,11047832.0,2012-07-01
Southwest Pacific,Latin America : Upper South America,950,1796,13884812.0,2012-12-01
Asia : South Asia,Latin America : Lower South America,2959,2731,43862558.0,2012-12-01
Europe : Western Europe,Middle East,770791,421138,3018444104.0,2012-02-01
Asia : South Asia,Asia : South Asia,5192229,1969440,4767676908.0,2012-01-01
Africa : Eastern Africa,Asia : Central Asia,95,59,743533.0,2012-06-01
Asia : North East Asia,Africa : Southern Africa,23531,10387,281909581.0,2012-01-01
Africa : Southern Africa,Asia : South East Asia,13750,10812,147773199.0,2012-04-01
